,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_UNINSUR,E_DAYPOP,Deaths
18009,12129.0,6025.0,5225.0,1496.0,365.0,24663.0,914.0,2510.0,2580.0,2443.0,451.0,514.0,15.0,119.0,374.0,106.0,341.0,160.0,836.0,10083.0,29.0
18013,15034.0,8638.0,6093.0,1402.0,349.0,33617.0,992.0,3484.0,2751.0,1959.0,378.0,642.0,52.0,273.0,652.0,115.0,142.0,139.0,1676.0,9980.0,31.0
18015,19994.0,9574.0,7880.0,2012.0,402.0,28430.0,1511.0,3755.0,4535.0,3096.0,457.0,1183.0,105.0,136.0,621.0,126.0,350.0,119.0,2056.0,14743.0,46.0
18019,115702.0,50140.0,44275.0,11328.0,3132.0,28525.0,8607.0,17343.0,26465.0,15693.0,3542.0,19069.0,846.0,4213.0,2576.0,460.0,2355.0,1756.0,9723.0,108571.0,271.0
18021,26268.0,11791.0,10510.0,3599.0,686.0,25290.0,1520.0,4553.0,6055.0,4676.0,963.0,985.0,122.0,272.0,1033.0,199.0,433.0,483.0,1401.0,21801.0,84.0
18023,32301.0,13321.0,12007.0,3930.0,766.0,24276.0,2920.0,5161.0,8457.0,4481.0,999.0,5630.0,1120.0,680.0,534.0,252.0,705.0,614.0,3371.0,25372.0,83.0
18025,10581.0,5541.0,3915.0,1608.0,175.0,21021.0,1331.0,1998.0,2350.0,2105.0,277.0,393.0,19.0,60.0,1232.0,92.0,176.0,100.0,755.0,7272.0,29.0
18029,49501.0,20422.0,18648.0,4973.0,1272.0,29891.0,3206.0,8186.0,11306.0,5852.0,1568.0,1853.0,60.0,1092.0,716.0,236.0,789.0,583.0,2879.0,36555.0,113.0
18031,26552.0,11380.0,10425.0,3302.0,597.0,26515.0,1612.0,4259.0,6509.0,3710.0,963.0,1349.0,72.0,476.0,661.0,115.0,498.0,382.0,1806.0,26300.0,68.0
18033,42704.0,17921.0,16789.0,4536.0,1021.0,27036.0,2800.0,6612.0,10486.0,5954.0,1892.0,2105.0,135.0,814.0,1575.0,143.0,912.0,465.0,3792.0,42833.0,94.0
18035,115616.0,52710.0,46028.0,23360.0,3816.0,24234.0,7620.0,19153.0,21658.0,18590.0,4081.0,15082.0,446.0,3794.0,2501.0,613.0,3453.0,7237.0,10269.0,111072.0,279.0
18037,42418.0,17781.0,16550.0,4561.0,351.0,28932.0,2841.0,7013.0,10475.0,4503.0,1204.0,3901.0,529.0,621.0,942.0,344.0,632.0,997.0,2401.0,50282.0,114.0
18041,23259.0,10820.0,9568.0,4221.0,522.0,23627.0,2837.0,4477.0,5162.0,4120.0,931.0,1007.0,56.0,526.0,534.0,206.0,694.0,429.0,2397.0,20246.0,89.0
18043,76809.0,32644.0,29356.0,7419.0,1825.0,32299.0,5104.0,11706.0,17635.0,9574.0,2721.0,9153.0,296.0,2098.0,591.0,157.0,1727.0,1350.0,4223.0,68532.0,155.0
18045,16486.0,7892.0,7015.0,1912.0,459.0,26721.0,1301.0,3181.0,3654.0,2909.0,423.0,754.0,80.0,84.0,821.0,80.0,352.0,177.0,1496.0,13282.0,41.0
18047,22842.0,9725.0,8744.0,1905.0,454.0,27557.0,1845.0,3898.0,5416.0,3002.0,854.0,138.0,89.0,180.0,1064.0,137.0,337.0,186.0,1281.0,15810.0,47.0
18049,20212.0,9726.0,7884.0,2778.0,457.0,25106.0,1748.0,3751.0,4759.0,3308.0,521.0,1611.0,163.0,228.0,1034.0,87.0,476.0,224.0,2322.0,16454.0,62.0
18051,33596.0,15049.0,13244.0,3310.0,531.0,27137.0,2072.0,5661.0,7873.0,5077.0,1207.0,1994.0,57.0,543.0,2033.0,326.0,658.0,824.0,2317.0,35940.0,103.0
18055,32295.0,15240.0,12790.0,4466.0,842.0,24309.0,2803.0,6118.0,7143.0,5966.0,941.0,1060.0,171.0,281.0,3100.0,466.0,597.0,298.0,2732.0,24732.0,78.0
18059,73830.0,29713.0,28215.0,5200.0,1095.0,32730.0,3130.0,11521.0,17457.0,9549.0,2078.0,5337.0,313.0,1293.0,477.0,256.0,856.0,661.0,5205.0,60869.0,141.0
18061,39712.0,16972.0,14584.0,4133.0,1173.0,27211.0,3049.0,6707.0,8939.0,6924.0,1044.0,1824.0,59.0,323.0,2417.0,232.0,545.0,356.0,2806.0,30882.0,64.0
18063,160940.0,60730.0,58078.0,8339.0,3440.0,34689.0,7105.0,20870.0,41179.0,17033.0,4825.0,24243.0,1514.0,3434.0,757.0,649.0,1115.0,2678.0,10190.0,146579.0,276.0
18065,48483.0,21233.0,18408.0,6902.0,1297.0,23851.0,3582.0,8878.0,10017.0,7769.0,1662.0,3078.0,59.0,856.0,985.0,195.0,869.0,3419.0,3500.0,39892.0,131.0
18067,82387.0,39188.0,34550.0,12897.0,2299.0,27297.0,6351.0,15344.0,18690.0,14301.0,3369.0,12065.0,357.0,2715.0,1355.0,258.0,2399.0,1130.0,6273.0,86340.0,263.0
18069,36378.0,16023.0,14754.0,3556.0,646.0,25386.0,2253.0,5986.0,7918.0,5073.0,994.0,1827.0,116.0,423.0,812.0,173.0,707.0,1380.0,2805.0,32487.0,80.0
18071,43938.0,18975.0,16746.0,6890.0,985.0,24522.0,4002.0,6878.0,10814.0,6383.0,1575.0,4944.0,621.0,742.0,1933.0,226.0,977.0,732.0,4217.0,42670.0,95.0
18073,33449.0,13521.0,12539.0,2867.0,695.0,26415.0,2634.0,5642.0,7984.0,4865.0,1030.0,2796.0,212.0,374.0,651.0,251.0,364.0,885.0,2398.0,28549.0,93.0
18079,27727.0,12276.0,10659.0,4034.0,564.0,23490.0,2737.0,4345.0,6509.0,4675.0,893.0,1327.0,70.0,142.0,2359.0,269.0,538.0,359.0,2757.0,21335.0,68.0
18081,151564.0,60206.0,55777.0,12915.0,3362.0,32475.0,8059.0,21500.0,38017.0,15493.0,5121.0,15605.0,789.0,5007.0,1771.0,879.0,1710.0,2417.0,10815.0,127064.0,309.0
18083,37409.0,17060.0,14955.0,6009.0,962.0,24581.0,2885.0,6384.0,8082.0,6970.0,1635.0,2682.0,77.0,879.0,1548.0,206.0,1071.0,2266.0,2900.0,43790.0,83.0
18085,78806.0,38258.0,30676.0,7913.0,1628.0,28740.0,7595.0,12443.0,19168.0,10728.0,2609.0,9370.0,1394.0,1299.0,4620.0,632.0,1861.0,1584.0,8387.0,77346.0,178.0
18089,486849.0,212140.0,185437.0,79069.0,18836.0,27660.0,39031.0,76230.0,116340.0,67334.0,21390.0,222491.0,9987.0,16857.0,2880.0,4276.0,15625.0,5689.0,41625.0,439265.0,1211.0
18091,110552.0,49061.0,42904.0,16830.0,3959.0,25865.0,9041.0,18574.0,24035.0,14194.0,4331.0,22634.0,779.0,3098.0,2331.0,1129.0,3414.0,8268.0,8901.0,101738.0,312.0
18093,45619.0,21117.0,18487.0,5288.0,1050.0,25590.0,3688.0,8779.0,10110.0,8378.0,1524.0,1942.0,75.0,550.0,2273.0,265.0,754.0,679.0,3787.0,37918.0,106.0
18095,129505.0,59071.0,51422.0,21162.0,3680.0,24625.0,10755.0,22817.0,28419.0,22641.0,5577.0,19270.0,861.0,2481.0,2942.0,710.0,3673.0,6139.0,10980.0,109521.0,300.0
18099,46595.0,20191.0,17245.0,5232.0,1285.0,25537.0,4678.0,7936.0,11750.0,6486.0,1109.0,5779.0,1046.0,765.0,1445.0,595.0,1174.0,781.0,5983.0,42991.0,112.0
18101,10210.0,4804.0,4198.0,1226.0,150.0,25676.0,1025.0,1885.0,2296.0,1837.0,342.0,297.0,0.0,34.0,792.0,59.0,142.0,296.0,911.0,12610.0,36.0
18103,35901.0,15433.0,13707.0,5498.0,1086.0,22871.0,3618.0,6081.0,7721.0,5647.0,1343.0,3942.0,106.0,312.0,1541.0,311.0,622.0,2198.0,3212.0,29430.0,79.0
18107,38276.0,16638.0,15271.0,3693.0,811.0,26184.0,2718.0,6680.0,8744.0,5564.0,1338.0,3030.0,508.0,879.0,936.0,256.0,683.0,1264.0,3573.0,35890.0,127.0
18109,69727.0,28282.0,25926.0,7717.0,2056.0,28633.0,5912.0,11065.0,16104.0,10450.0,2111.0,2658.0,179.0,824.0,2201.0,497.0,1087.0,953.0,5574.0,48951.0,176.0
18111,14018.0,6076.0,5562.0,1852.0,433.0,25366.0,1442.0,2568.0,3040.0,2156.0,509.0,949.0,207.0,94.0,195.0,65.0,212.0,220.0,1206.0,10096.0,42.0
