,E_TOTPOP,E_HU,E_HH,E_POV150,E_UNEMP,E_HBURD,E_NOHSDP,E_UNINSUR,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_LIMENG,E_MINRTY,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_DAYPOP,E_NOINT,E_AFAM,E_HISP,E_ASIAN,E_AIAN,E_NHPI,E_TWOMORE,E_OTHERRACE,Deaths
17195,55583.0,25831.0,23225.0,9206.0,1019.0,4636.0,3383.0,2972.0,11509.0,12249.0,8223.0,1567.0,448.0,8846.0,1063.0,559.0,303.0,1183.0,1075.0,50629.0,7110.0,680.0,6809.0,320.0,64.0,85.0,888.0,0.0,169.0
17197,689704.0,245246.0,232395.0,79436.0,18194.0,52431.0,38442.0,34923.0,90093.0,171799.0,61636.0,13418.0,19473.0,255632.0,14056.0,3207.0,4318.0,7592.0,9280.0,611365.0,41829.0,76490.0,122209.0,37632.0,432.0,469.0,17424.0,976.0,1191.0
17199,66929.0,31435.0,27937.0,14419.0,1644.0,6394.0,3633.0,3734.0,12648.0,14590.0,11810.0,1907.0,334.0,7104.0,898.0,2666.0,170.0,1940.0,2099.0,66675.0,9377.0,2635.0,1807.0,801.0,122.0,0.0,1693.0,46.0,153.0
17201,283635.0,125703.0,115768.0,71012.0,11097.0,30497.0,23594.0,17042.0,49555.0,66491.0,39975.0,10010.0,5455.0,90499.0,9567.0,1819.0,2321.0,9979.0,4285.0,286067.0,30663.0,36301.0,37130.0,7670.0,219.0,18.0,8754.0,407.0,732.0
17203,38503.0,15625.0,14652.0,4562.0,700.0,2658.0,1423.0,1585.0,6838.0,9303.0,3932.0,771.0,56.0,1766.0,327.0,322.0,117.0,560.0,1076.0,30126.0,3392.0,233.0,721.0,198.0,17.0,0.0,597.0,0.0,107.0
18001,35544.0,13328.0,12512.0,10299.0,482.0,2681.0,3193.0,6831.0,5451.0,11176.0,3984.0,574.0,389.0,2383.0,731.0,446.0,474.0,1444.0,575.0,32590.0,10701.0,352.0,1626.0,91.0,17.0,0.0,188.0,109.0,69.0
18003,375520.0,159424.0,147043.0,81275.0,9760.0,31632.0,24743.0,29921.0,54745.0,96482.0,47056.0,11274.0,6868.0,100798.0,15391.0,5119.0,2123.0,8465.0,5586.0,407538.0,36296.0,41860.0,28676.0,15692.0,485.0,124.0,13033.0,928.0,699.0
18005,83280.0,34480.0,31772.0,16210.0,1850.0,5836.0,5646.0,6406.0,13396.0,19937.0,11656.0,1977.0,954.0,16166.0,2665.0,2123.0,671.0,1543.0,993.0,93194.0,9878.0,1259.0,6018.0,6579.0,103.0,0.0,1828.0,379.0,189.0
18007,8695.0,3917.0,3435.0,2525.0,143.0,678.0,615.0,784.0,1536.0,2173.0,1596.0,286.0,40.0,681.0,65.0,116.0,96.0,142.0,119.0,7112.0,1049.0,50.0,473.0,7.0,0.0,13.0,138.0,0.0,29.0
18009,11926.0,6013.0,5105.0,3481.0,321.0,1333.0,754.0,597.0,2546.0,2618.0,2515.0,261.0,11.0,552.0,224.0,296.0,54.0,542.0,149.0,9951.0,2141.0,52.0,207.0,39.0,29.0,0.0,225.0,0.0,44.0
18011,66875.0,27574.0,25822.0,6550.0,1214.0,4606.0,2401.0,3016.0,8812.0,17618.0,6213.0,1454.0,565.0,6724.0,2088.0,901.0,177.0,777.0,647.0,65741.0,4524.0,1177.0,2108.0,2116.0,74.0,0.0,1187.0,62.0,112.0
18013,15093.0,8736.0,6372.0,2533.0,327.0,1525.0,763.0,1287.0,3671.0,2668.0,2143.0,333.0,51.0,693.0,277.0,557.0,255.0,124.0,143.0,10549.0,1934.0,184.0,272.0,29.0,0.0,0.0,208.0,0.0,39.0
18015,20137.0,9643.0,8123.0,3425.0,258.0,1348.0,1693.0,1928.0,3943.0,4475.0,3013.0,382.0,57.0,1300.0,165.0,552.0,131.0,305.0,115.0,15097.0,3420.0,115.0,867.0,40.0,22.0,0.0,232.0,24.0,44.0
18017,37727.0,16362.0,14950.0,9702.0,827.0,2745.0,3827.0,3018.0,6648.0,8697.0,5452.0,1037.0,1177.0,7918.0,365.0,822.0,237.0,846.0,1242.0,35338.0,6712.0,428.0,5922.0,534.0,112.0,18.0,864.0,40.0,75.0
18019,117410.0,51138.0,45024.0,21888.0,2532.0,9956.0,7953.0,7562.0,18308.0,26446.0,15536.0,2588.0,1071.0,20654.0,3938.0,2766.0,687.0,2033.0,1651.0,114471.0,17941.0,7386.0,6450.0,1069.0,47.0,16.0,5129.0,557.0,294.0
18021,26231.0,11773.0,10454.0,5190.0,580.0,1678.0,1680.0,1227.0,4823.0,6097.0,4886.0,802.0,112.0,1142.0,243.0,1164.0,216.0,403.0,571.0,22428.0,3961.0,151.0,393.0,66.0,41.0,6.0,482.0,3.0,95.0
18023,32186.0,13376.0,12144.0,6996.0,564.0,2614.0,2807.0,3069.0,5286.0,8439.0,4122.0,663.0,1096.0,5854.0,585.0,510.0,237.0,742.0,589.0,26147.0,5803.0,185.0,5174.0,92.0,1.0,12.0,368.0,22.0,67.0
18025,10582.0,5568.0,4117.0,3245.0,130.0,789.0,1283.0,766.0,2107.0,2360.0,1900.0,139.0,7.0,442.0,51.0,1383.0,85.0,181.0,105.0,7368.0,3001.0,40.0,169.0,0.0,13.0,0.0,209.0,11.0,29.0
