,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_UNINSUR,E_DAYPOP,Dem_Percent,Rep_Percent,Deaths
1127,66211.0,30772.0,25571.0,14997.0,3616.0,20580.0,10522.0,11412.0,14761.0,16309.0,2512.0,6713.0,352.0,302.0,8425.0,381.0,1480.0,960.0,9469.0,62912.0,0.17470734134820456,0.78997509176027,249.0
1129,17137.0,8386.0,6218.0,2679.0,1426.0,20737.0,2070.0,2613.0,4130.0,3830.0,362.0,5942.0,55.0,16.0,2216.0,74.0,262.0,153.0,2904.0,16487.0,0.17470734134820456,0.78997509176027,51.0
1131,11367.0,5626.0,3843.0,4513.0,757.0,13881.0,1596.0,1865.0,2934.0,1924.0,373.0,8285.0,11.0,38.0,1957.0,50.0,508.0,252.0,2058.0,11564.0,0.17470734134820456,0.78997509176027,63.0
1133,24256.0,13428.0,9526.0,5297.0,1016.0,19078.0,4535.0,4594.0,5165.0,5944.0,722.0,1340.0,180.0,110.0,3600.0,123.0,635.0,402.0,3446.0,23640.0,0.17470734134820456,0.78997509176027,69.0
2020,298178.0,113715.0,105164.0,24091.0,11289.0,36508.0,14044.0,24125.0,75602.0,28357.0,11529.0,116082.0,6559.0,13858.0,4961.0,4459.0,6286.0,8338.0,46753.0,297514.0,0.4341135053305132,0.4945680887891116,303.0
2050,17576.0,5919.0,4441.0,4070.0,1297.0,18875.0,1833.0,1084.0,6308.0,1699.0,736.0,15588.0,534.0,239.0,179.0,1548.0,2533.0,355.0,4490.0,17712.0,0.4341135053305132,0.4945680887891116,16.0
2090,99319.0,41736.0,35844.0,7640.0,4135.0,32906.0,4013.0,7198.0,24720.0,9669.0,3130.0,27314.0,1001.0,3422.0,1807.0,1667.0,2137.0,3875.0,13325.0,101736.0,0.4341135053305132,0.4945680887891116,101.0
2110,32200.0,13107.0,12081.0,2033.0,1031.0,38057.0,1182.0,3005.0,7331.0,3000.0,1211.0,10802.0,389.0,1348.0,1078.0,623.0,1024.0,737.0,5123.0,32542.0,0.4341135053305132,0.4945680887891116,43.0
2122,56687.0,30638.0,21559.0,5138.0,2676.0,31611.0,2599.0,7121.0,13262.0,8122.0,1821.0,10168.0,121.0,893.0,1671.0,855.0,1233.0,1825.0,11843.0,56719.0,0.4341135053305132,0.4945680887891116,74.0
2130,13676.0,6199.0,5305.0,1540.0,620.0,31494.0,664.0,1480.0,3185.0,1636.0,444.0,4725.0,81.0,924.0,226.0,176.0,654.0,325.0,2549.0,13563.0,0.4341135053305132,0.4945680887891116,31.0
2150,13924.0,5297.0,4560.0,1557.0,385.0,29993.0,762.0,1033.0,3839.0,1591.0,641.0,6718.0,340.0,413.0,473.0,406.0,254.0,395.0,3495.0,14216.0,0.4341135053305132,0.4945680887891116,11.0
2170,93843.0,41364.0,31104.0,9375.0,4558.0,30013.0,4439.0,8190.0,26297.0,10539.0,2848.0,17399.0,553.0,812.0,1437.0,1790.0,989.0,1666.0,17720.0,93925.0,0.4341135053305132,0.4945680887891116,83.0
2198,6356.0,3344.0,2377.0,983.0,436.0,24737.0,380.0,682.0,1574.0,953.0,276.0,3421.0,4.0,104.0,483.0,176.0,361.0,99.0,2219.0,5962.0,0.4341135053305132,0.4945680887891116,10.0
2220,8957.0,4105.0,3513.0,705.0,224.0,33920.0,492.0,1077.0,2060.0,897.0,313.0,3270.0,191.0,175.0,416.0,107.0,456.0,334.0,1721.0,9036.0,0.4341135053305132,0.4945680887891116,12.0
2240,7044.0,3904.0,2156.0,948.0,275.0,30402.0,360.0,730.0,1901.0,1008.0,156.0,1585.0,80.0,66.0,235.0,191.0,161.0,465.0,1607.0,7144.0,0.4341135053305132,0.4945680887891116,11.0
2261,9685.0,6113.0,3225.0,933.0,472.0,32610.0,547.0,900.0,2389.0,1028.0,365.0,2865.0,141.0,451.0,795.0,161.0,203.0,304.0,2220.0,9661.0,0.4341135053305132,0.4945680887891116,10.0
2275,2383.0,1515.0,1163.0,235.0,67.0,30671.0,204.0,597.0,394.0,595.0,90.0,686.0,35.0,79.0,216.0,15.0,136.0,50.0,503.0,2244.0,0.4341135053305132,0.4945680887891116,11.0
2290,5651.0,4037.0,2057.0,1346.0,514.0,20149.0,652.0,689.0,1607.0,934.0,300.0,4423.0,26.0,13.0,110.0,306.0,1016.0,54.0,2109.0,5770.0,0.4341135053305132,0.4945680887891116,13.0
4001,72142.0,32614.0,19046.0,25330.0,4653.0,12828.0,10347.0,8984.0,21822.0,10633.0,2360.0,58016.0,3405.0,258.0,7193.0,2927.0,2122.0,1455.0,17640.0,76473.0,0.3937996084809593,0.5568060331816816,102.0
4003,130807.0,59802.0,48846.0,21165.0,4657.0,23552.0,12158.0,24004.0,29800.0,20341.0,4576.0,55887.0,6150.0,4514.0,13386.0,1473.0,2911.0,10258.0,14868.0,113094.0,0.3937996084809593,0.5568060331816816,282.0
4005,135817.0,63890.0,46391.0,30222.0,6871.0,23459.0,9710.0,13481.0,30669.0,15014.0,4988.0,61407.0,3705.0,5688.0,9304.0,3579.0,2974.0,9410.0,26779.0,145703.0,0.3937996084809593,0.5568060331816816,142.0
4007,53242.0,32925.0,20824.0,11705.0,2495.0,20857.0,6297.0,13183.0,11035.0,10139.0,1504.0,19039.0,798.0,556.0,7493.0,784.0,1652.0,1052.0,8880.0,48376.0,0.3937996084809593,0.5568060331816816,166.0
4009,37311.0,13096.0,10975.0,7158.0,1809.0,17687.0,3323.0,4408.0,10428.0,4576.0,1259.0,17909.0,1028.0,316.0,3260.0,687.0,645.0,4301.0,5363.0,34636.0,0.3937996084809593,0.5568060331816816,66.0
4011,8800.0,4395.0,3446.0,1265.0,326.0,22334.0,829.0,1036.0,2518.0,1176.0,401.0,4637.0,190.0,94.0,1117.0,298.0,139.0,77.0,1269.0,8321.0,0.3937996084809593,0.5568060331816816,11.0
4012,20348.0,16113.0,9707.0,3706.0,896.0,21772.0,3610.0,7001.0,3557.0,3595.0,566.0,7952.0,1012.0,221.0,6253.0,625.0,689.0,284.0,2849.0,18806.0,0.3937996084809593,0.5568060331816816,82.0
4013,3947382.0,1657753.0,1424244.0,666748.0,171827.0,27477.0,341720.0,513536.0,1011479.0,399455.0,149665.0,1666248.0,205455.0,240501.0,84361.0,62213.0,97077.0,50032.0,646167.0,3812151.0,0.3937996084809593,0.5568060331816816,5636.0
4015,202482.0,111581.0,80529.0,38836.0,11227.0,20709.0,23909.0,50721.0,39674.0,37390.0,5871.0,43129.0,4230.0,4746.0,29814.0,2491.0,4284.0,6780.0,33387.0,168806.0,0.3937996084809593,0.5568060331816816,764.0
4017,107489.0,57214.0,34018.0,32138.0,7947.0,16355.0,12628.0,15642.0,30838.0,18717.0,4134.0,61260.0,4283.0,962.0,13585.0,3204.0,3182.0,2493.0,19137.0,104690.0,0.3937996084809593,0.5568060331816816,185.0
4019,993144.0,444564.0,386155.0,184229.0,50497.0,25524.0,81894.0,164584.0,221970.0,133694.0,36132.0,455418.0,38961.0,61796.0,46475.0,15200.0,33045.0,26358.0,141211.0,929164.0,0.3937996084809593,0.5568060331816816,1869.0
4021,390160.0,162412.0,126128.0,61397.0,17681.0,20983.0,39027.0,61947.0,99708.0,46667.0,12608.0,163322.0,13005.0,3310.0,31522.0,4506.0,5535.0,24084.0,53302.0,322950.0,0.3937996084809593,0.5568060331816816,537.0
4023,47250.0,18075.0,15514.0,11452.0,2352.0,17900.0,7802.0,6882.0,13853.0,4501.0,1958.0,39824.0,7011.0,1116.0,922.0,872.0,992.0,308.0,9484.0,44855.0,0.3937996084809593,0.5568060331816816,43.0
4025,213689.0,111291.0,91508.0,33813.0,9943.0,25068.0,16146.0,56109.0,38839.0,38596.0,5611.0,39733.0,4096.0,3657.0,23229.0,2812.0,4649.0,3470.0,31238.0,184245.0,0.3937996084809593,0.5568060331816816,596.0
4027,201453.0,88823.0,69915.0,40145.0,10886.0,18887.0,34992.0,32969.0,54302.0,22597.0,8360.0,132882.0,27527.0,4732.0,26069.0,4825.0,4133.0,7505.0,39064.0,181748.0,0.3937996084809593,0.5568060331816816,324.0
5001,18861.0,9429.0,7787.0,3277.0,707.0,23237.0,2185.0,3231.0,4416.0,3773.0,595.0,5572.0,135.0,284.0,1560.0,39.0,602.0,287.0,2442.0,19236.0,0.35094928543634474,0.5890092524120211,52.0
5003,21437.0,10117.0,8518.0,4205.0,1111.0,19739.0,2226.0,3672.0,5100.0,4541.0,912.0,6864.0,212.0,154.0,2408.0,136.0,512.0,219.0,3083.0,21494.0,0.35094928543634474,0.5890092524120211,59.0
5005,41154.0,22606.0,18237.0,6019.0,1488.0,21693.0,4081.0,11939.0,7411.0,9211.0,1336.0,1877.0,133.0,577.0,3578.0,213.0,821.0,549.0,5181.0,40746.0,0.35094928543634474,0.5890092524120211,149.0
5007,232611.0,95117.0,83191.0,26903.0,5553.0,27522.0,20359.0,29122.0,63741.0,21871.0,6493.0,57065.0,7620.0,5558.0,5466.0,2347.0,2598.0,2687.0,32529.0,221088.0,0.35094928543634474,0.5890092524120211,390.0
5009,37169.0,16884.0,14855.0,6177.0,1549.0,21348.0,3893.0,7014.0,8505.0,7577.0,1258.0,2002.0,30.0,384.0,2299.0,390.0,902.0,511.0,5539.0,35359.0,0.35094928543634474,0.5890092524120211,124.0
