,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_UNINSUR,E_DAYPOP,Deaths,"Deaths per 100,000 Population",C-E_TOTPOP,C-E_HU,C-E_HH,C-E_POV,C-E_UNEMP,C-E_NOHSDP,C-E_AGE65,C-E_AGE17,C-E_DISABL,C-E_SNGPNT,C-E_MINRTY,C-E_LIMENG,C-E_MUNIT,C-E_MOBILE,C-E_CROWD,C-E_NOVEH,C-E_GROUPQ,C-E_UNINSUR,C-E_DAYPOP,C-Deaths,"C-Deaths per 100,000 Population",Risk Category
20143_2016,6004.0,2762.0,2446.0,501.0,133.0,242.0,1101.0,1454.0,781.0,118.0,335.0,0.0,30.0,222.0,17.0,97.0,89.0,461.0,4479.0,11.0,183.21119253830778,-71.0,-8.0,-33.0,-37.0,-42.0,-63.0,25.0,-44.0,-78.0,-42.0,23.0,0.0,-10.0,-22.0,5.0,-38.0,-24.0,-269.0,45.0,-1.0,-14.319671659223076,1
20143_2018,5902.0,2782.0,2420.0,604.0,80.0,240.0,1141.0,1388.0,742.0,113.0,347.0,18.0,39.0,171.0,15.0,64.0,87.0,429.0,4240.0,11.0,186.37749915282953,-102.0,20.0,-26.0,103.0,-53.0,-2.0,40.0,-66.0,-39.0,-5.0,12.0,18.0,9.0,-51.0,-2.0,-33.0,-2.0,-32.0,-239.0,0.0,3.1663066145217442,1
20143_2020,5776.0,2777.0,2433.0,1144.0,70.0,206.0,1184.0,1299.0,796.0,121.0,357.0,12.0,51.0,91.0,12.0,48.0,93.0,369.0,4123.0,13.0,225.06925207756234,-126.0,-5.0,13.0,540.0,-10.0,-34.0,43.0,-89.0,54.0,8.0,10.0,-6.0,12.0,-80.0,-3.0,-16.0,6.0,-60.0,-117.0,2.0,38.69175292473281,1
20145_2016,6840.0,3147.0,2598.0,423.0,36.0,542.0,1273.0,1317.0,953.0,258.0,1039.0,162.0,66.0,103.0,8.0,83.0,1066.0,454.0,6799.0,25.0,365.4970760233918,-119.0,1.0,73.0,-10.0,-78.0,-51.0,46.0,-105.0,-12.0,73.0,29.0,2.0,-35.0,11.0,8.0,-50.0,67.0,-389.0,84.0,10.0,149.9488650735427,1
20145_2018,6709.0,3168.0,2502.0,488.0,58.0,618.0,1437.0,1192.0,1038.0,216.0,1058.0,30.0,42.0,99.0,6.0,124.0,1087.0,610.0,6783.0,21.0,313.01237144134745,-131.0,21.0,-96.0,65.0,22.0,76.0,164.0,-125.0,85.0,-42.0,19.0,-132.0,-24.0,-4.0,-2.0,41.0,21.0,156.0,-16.0,-4.0,-52.484704582044344,1
20145_2020,6539.0,3158.0,2447.0,1220.0,52.0,467.0,1447.0,1070.0,1165.0,155.0,1046.0,24.0,53.0,150.0,4.0,91.0,1042.0,574.0,5908.0,23.0,351.73573940969567,-170.0,-10.0,-55.0,732.0,-6.0,-151.0,10.0,-122.0,127.0,-61.0,-12.0,-6.0,11.0,51.0,-2.0,-33.0,-45.0,-36.0,-875.0,2.0,38.723367968348214,1
20147_2016,5484.0,3063.0,2345.0,503.0,86.0,243.0,1168.0,1290.0,827.0,195.0,319.0,15.0,78.0,180.0,28.0,87.0,110.0,318.0,5233.0,19.0,346.4624361779723,-76.0,22.0,-69.0,-16.0,-50.0,-77.0,23.0,-36.0,16.0,6.0,31.0,1.0,-2.0,35.0,-6.0,-1.0,-6.0,-163.0,80.0,5.0,94.66387502689312,1
20147_2018,5408.0,3086.0,2363.0,513.0,68.0,278.0,1199.0,1237.0,849.0,175.0,334.0,20.0,103.0,193.0,68.0,93.0,100.0,294.0,4879.0,17.0,314.3491124260355,-76.0,23.0,18.0,10.0,-18.0,35.0,31.0,-53.0,22.0,-20.0,15.0,5.0,25.0,13.0,40.0,6.0,-10.0,-24.0,-354.0,-2.0,-32.113323751936775,1
20147_2020,5297.0,3089.0,2406.0,1075.0,67.0,249.0,1240.0,1185.0,917.0,91.0,354.0,28.0,114.0,164.0,91.0,133.0,91.0,287.0,4555.0,15.0,283.17915801397015,-111.0,3.0,43.0,562.0,-1.0,-29.0,41.0,-52.0,68.0,-84.0,20.0,8.0,11.0,-29.0,23.0,40.0,-9.0,-7.0,-324.0,-2.0,-31.16995441206535,1
20149_2016,22920.0,9066.0,8364.0,2045.0,486.0,669.0,3036.0,6781.0,2104.0,500.0,2314.0,203.0,214.0,804.0,220.0,260.0,329.0,1631.0,20406.0,25.0,109.07504363001746,582.0,224.0,255.0,-68.0,58.0,91.0,196.0,215.0,132.0,73.0,165.0,174.0,49.0,-60.0,68.0,24.0,2.0,-68.0,839.0,-23.0,-105.80542910702258,0
